time_seconds,key
230.2132,down
230.4253,down
230.6363,down
230.8572,down
231.0762,down
232.0072,down
232.2123,down
232.4382,down
232.6573,down
232.8812,down
233.1082,down
233.3333,down
233.5592,down
233.7852,down
233.9973,down
234.2362,down
234.4414,down
234.6603,down
234.8713,down
235.0962,down
235.3212,down
235.5563,down
235.7743,down
235.9993,down
236.2123,down
236.4503,down
237.3542,down
237.5673,down
237.7862,down
237.9922,down
238.2103,down
238.4222,down
238.6482,down
238.8602,down
239.0924,down
239.3182,down
239.5432,down
239.7621,down
239.9733,down
240.9061,down
241.1253,down
241.3432,down
241.5552,down
241.7803,down
241.9862,down
242.2113,down
242.4232,down
242.6551,down
242.8812,down
243.0922,down
243.3182,down
243.5522,down
244.4682,down
244.6722,down
244.8783,down
245.0982,down
245.3302,down
245.5563,down
245.7742,down
245.9932,down
246.2042,down
246.4372,down
246.6573,down
246.8812,down
247.1083,down
248.0242,down
248.2222,down
248.4281,down
248.6463,down
248.8723,down
249.1051,down
249.3452,down
249.5491,down
249.7602,down
249.9801,down
250.1923,down
250.4243,down
250.6573,down
251.5111,down
251.7221,down
251.9823,down
252.1732,down
252.3991,down
252.6243,down
252.8651,down
253.0773,down
253.3231,down
253.5491,down
253.7612,down
253.9731,down
254.1982,down
255.1162,down
255.3142,down
255.5391,down
255.7591,down
255.9841,down
256.1973,down
256.4221,down
256.6621,down
256.8672,down
257.0861,down
257.3122,down
257.5381,down
257.7572,down
257.8711,down
257.9413,down
258.0682,down
258.1731,down
258.2871,down
258.3861,down
258.7041,down
